,state,value,age,level
231,Minnesota,0.9606769416323263,3544,white
232,Mississippi,0.8587372836704089,3544,white
233,Missouri,0.9035337564692212,3544,white
234,Montana,0.8924190855381454,3544,white
235,Nebraska,0.9419853287031014,3544,white
236,Nevada,0.8966617350110601,3544,white
237,New Hampshire,0.932107931666466,3544,white
238,New Jersey,0.9410810543999428,3544,white
239,New Mexico,0.9360694351989349,3544,white
240,New York,0.9554181407832134,3544,white
241,North Carolina,0.8923354950023799,3544,white
242,North Dakota,0.9544419134396356,3544,white
243,Ohio,0.9295340409218941,3544,white
244,Oklahoma,0.8713943448144985,3544,white
245,Oregon,0.9403010748688958,3544,white
246,Pennsylvania,0.9448050276472547,3544,white
247,Rhode Island,0.9626538544590801,3544,white
248,South Carolina,0.8877217341814694,3544,white
249,South Dakota,0.923996822466024,3544,white
250,Tennessee,0.8845294375086021,3544,white
251,Texas,0.8405201802843328,3544,white
252,Utah,0.9274377233063313,3544,white
253,Vermont,0.9538327892281179,3544,white
254,Virginia,0.9389399655138659,3544,white
255,Washington,0.9385940440165453,3544,white
256,West Virginia,0.9007839241558778,3544,white
257,Wisconsin,0.9517460742510694,3544,white
258,Wyoming,0.8672608721660585,3544,white
259,Puerto Rico,0.9226551947241172,3544,white
260,Alabama,0.9053542589961355,4554,white
261,Alaska,0.9093484969045355,4554,white
262,Arizona,0.9229382604776927,4554,white
263,Arkansas,0.9190433347723119,4554,white
264,California,0.9548589222030175,4554,white
265,Colorado,0.9473262952320732,4554,white
266,Connecticut,0.9629898455634527,4554,white
267,Delaware,0.9603441935721115,4554,white
268,District of Columbia,0.9932496492092988,4554,white
269,Florida,0.8897875859773606,4554,white
270,Georgia,0.8993912746975437,4554,white
271,Hawaii,0.9429115128449096,4554,white
272,Idaho,0.9172360802392909,4554,white
273,Illinois,0.9507647981934259,4554,white
274,Indiana,0.9354488636813714,4554,white
275,Iowa,0.9662391531906984,4554,white
276,Kansas,0.929208842821281,4554,white
277,Kentucky,0.9498330828118992,4554,white
278,Louisiana,0.9400916504649962,4554,white
279,Maine,0.930804329725229,4554,white
280,Maryland,0.9627683834354235,4554,white
281,Massachusetts,0.9817061150927191,4554,white
282,Michigan,0.9560706454625376,4554,white
283,Minnesota,0.9687918191170897,4554,white
284,Mississippi,0.9041432854177877,4554,white
285,Missouri,0.9228715472555563,4554,white
286,Montana,0.9160243369851253,4554,white
287,Nebraska,0.9537469436944506,4554,white
288,Nevada,0.9068425931523688,4554,white
289,New Hampshire,0.9490915717293883,4554,white
290,New Jersey,0.9572290173062353,4554,white
291,New Mexico,0.9281538359825839,4554,white
292,New York,0.9626355345253015,4554,white
293,North Carolina,0.9155120789793293,4554,white
294,North Dakota,0.9557982881685876,4554,white
