,state,value,level,age,type
525,Colorado,0.39037010603588906,138149,1964,private
526,Connecticut,0.3411917098445596,138149,1964,private
527,Delaware,0.3514711313554106,138149,1964,private
528,District of Columbia,0.31869254341164455,138149,1964,private
529,Florida,0.533989476439318,138149,1964,private
530,Georgia,0.4875366980197094,138149,1964,private
531,Hawaii,0.5642625705028201,138149,1964,private
532,Idaho,0.487866323907455,138149,1964,private
533,Illinois,0.4485891430769579,138149,1964,private
534,Indiana,0.48536081852839685,138149,1964,private
535,Iowa,0.4732328898861997,138149,1964,private
536,Kansas,0.5566169004550412,138149,1964,private
537,Kentucky,0.41115224906416836,138149,1964,private
538,Louisiana,0.39800890971074815,138149,1964,private
539,Maine,0.43348086435824,138149,1964,private
540,Maryland,0.34144190871369295,138149,1964,private
541,Massachusetts,0.3366136103698056,138149,1964,private
542,Michigan,0.424767558601423,138149,1964,private
543,Minnesota,0.40253741639422935,138149,1964,private
544,Mississippi,0.5087864721485411,138149,1964,private
545,Missouri,0.4804664106809455,138149,1964,private
546,Montana,0.35761107064821557,138149,1964,private
547,Nebraska,0.5120263139861577,138149,1964,private
548,Nevada,0.4359297733231556,138149,1964,private
549,New Hampshire,0.5779155495978552,138149,1964,private
550,New Jersey,0.3540907419171487,138149,1964,private
551,New Mexico,0.30008676162244236,138149,1964,private
552,New York,0.37968558093834437,138149,1964,private
553,North Carolina,0.45191570293567285,138149,1964,private
554,North Dakota,0.7530700925750992,138149,1964,private
555,Ohio,0.3776461597248758,138149,1964,private
556,Oklahoma,0.4765013054830287,138149,1964,private
557,Oregon,0.4521777003484321,138149,1964,private
558,Pennsylvania,0.4600340497978293,138149,1964,private
559,Rhode Island,0.36403337752476017,138149,1964,private
560,South Carolina,0.5226594350611532,138149,1964,private
561,South Dakota,0.5313965607087024,138149,1964,private
562,Tennessee,0.41232872866127585,138149,1964,private
563,Texas,0.44556804532052957,138149,1964,private
564,Utah,0.6040363949526342,138149,1964,private
565,Vermont,0.457709038182697,138149,1964,private
566,Virginia,0.4478348102324026,138149,1964,private
567,Washington,0.38688781457206733,138149,1964,private
568,West Virginia,0.5395503225402393,138149,1964,private
569,Wisconsin,0.4531511938743147,138149,1964,private
570,Wyoming,0.4954128440366973,138149,1964,private
