variable,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico
no_150199_u19_private,"75,256","11,789","93,235","54,857","554,738","66,545","38,340","14,870","3,479","298,775","170,551","11,433","33,109","138,432","100,277","43,655","34,615","60,644","76,744","12,589","60,580","50,101","96,654","58,321","48,960","78,125","14,047","20,721","44,276","9,142","96,896","38,633","208,145","156,913","4,877","136,209","65,928","44,980","143,134","13,342","74,286","13,236","94,971","515,037","28,023","7,680","96,900","88,697","24,443","56,692","7,646","22,026"
total_150199_1964_private,"258,338","26,872","329,553","175,436","1,701,792","199,561","119,960","42,004","12,394","1,093,802","509,342","45,448","105,718","510,153","342,644","141,628","135,520","222,816","236,723","61,120","191,192","197,866","441,380","194,282","166,949","284,864","48,700","87,178","160,283","40,085","313,846","114,088","768,456","515,720","30,506","509,607","204,717","177,994","513,300","38,663","254,078","40,908","346,501","1,518,145","144,176","20,637","328,417","278,905","87,649","225,426","24,297","232,696"
with_150199_1964_private,"164,156","12,734","170,141","93,802","776,040","108,676","56,770","22,141","5,813","681,960","293,551","28,937","68,506","291,183","199,061","85,608","91,366","117,765","122,973","33,170","103,755","99,452","256,121","107,749","103,082","173,885","24,782","58,608","85,295","24,797","146,585","53,608","367,687","314,801","22,873","288,994","112,762","94,281","302,372","21,566","154,593","29,025","212,209","828,577","102,283","10,752","187,838","149,180","51,713","137,490","16,705","127,007"
no_150199_1964_private,"94,182","14,138","159,412","81,634","925,752","90,885","63,190","19,863","6,581","411,842","215,791","16,511","37,212","218,970","143,583","56,020","44,154","105,051","113,750","27,950","87,437","98,414","185,259","86,533","63,867","110,979","23,918","28,570","74,988","15,288","167,261","60,480","400,769","200,919","7,633","220,613","91,955","83,713","210,928","17,097","99,485","11,883","134,292","689,568","41,893","9,885","140,579","129,725","35,936","87,936","7,592","105,689"
total_150199_o65_private,"95,434","7,680","111,194","56,754","471,551","66,030","51,226","13,896","3,822","434,231","145,025","18,043","28,920","179,709","114,190","54,005","47,018","87,688","85,249","30,682","63,843","86,277","166,901","73,438","55,160","108,502","22,572","28,309","50,954","20,297","108,838","39,722","274,836","187,425","10,454","206,537","66,818","61,072","230,740","19,223","101,558","13,084","123,597","361,724","28,999","11,249","113,702","93,383","47,777","92,862","12,516","97,508"
with_150199_o65_private,"46,068","2,846","43,044","22,119","154,828","24,595","21,585","7,457","1,824","157,904","55,409","10,948","13,080","77,861","53,464","27,590","24,761","41,204","37,251","13,539","34,897","40,380","91,643","42,812","23,270","44,720","11,483","13,716","17,179","9,339","47,772","17,762","120,031","81,420","6,793","90,217","31,580","28,368","120,225","7,636","48,133","5,725","50,093","131,722","11,899","6,016","55,618","44,177","23,211","43,063","6,503","23,953"
no_150199_o65_private,"49,366","4,834","68,150","34,635","316,723","41,435","29,641","6,439","1,998","276,327","89,616","7,095","15,840","101,848","60,726","26,415","22,257","46,484","47,998","17,143","28,946","45,897","75,258","30,626","31,890","63,782","11,089","14,593","33,775","10,958","61,066","21,960","154,805","106,005","3,661","116,320","35,238","32,704","110,515","11,587","53,425","7,359","73,504","230,002","17,100","5,233","58,084","49,206","24,566","49,799","6,013","73,555"
total_200249_u19_private,"114,460","14,719","165,615","72,322","790,793","97,359","55,692","18,937","5,135","461,673","254,176","24,887","52,152","234,191","166,473","76,623","82,218","94,418","101,471","23,627","105,329","90,454","206,419","119,533","68,008","142,956","26,757","53,065","74,700","21,044","151,876","43,615","308,296","220,617","19,367","232,417","110,667","73,901","249,483","12,608","124,518","26,003","161,677","745,924","101,236","10,019","147,790","136,153","36,560","105,067","14,548","33,412"
with_200249_u19_private,"66,891","8,571","102,161","38,323","367,342","53,484","23,793","8,656",741,"239,186","133,174","14,824","35,512","140,797","104,129","48,318","59,925","54,266","48,750","14,955","54,274","46,672","136,179","76,902","40,116","83,342","14,663","36,257","46,521","11,060","72,966","18,068","163,257","123,164","13,313","147,036","59,080","39,709","147,031","7,759","63,334","21,085","93,968","408,615","81,563","5,264","84,090","61,699","21,747","74,283","9,042","25,620"
no_200249_u19_private,"47,569","6,148","63,454","33,999","423,451","43,875","31,899","10,281","4,394","222,487","121,002","10,063","16,640","93,394","62,344","28,305","22,293","40,152","52,721","8,672","51,055","43,782","70,240","42,631","27,892","59,614","12,094","16,808","28,179","9,984","78,910","25,547","145,039","97,453","6,054","85,381","51,587","34,192","102,452","4,849","61,184","4,918","67,709","337,309","19,673","4,755","63,700","74,454","14,813","30,784","5,506","7,792"
total_200249_1964_private,"246,330","28,266","339,159","163,549","1,648,192","209,288","124,931","39,738","14,843","1,085,214","522,128","48,943","88,450","502,079","309,357","144,130","139,142","213,643","213,114","58,562","198,327","205,499","452,424","212,180","145,634","290,420","59,052","96,992","161,991","43,690","329,124","95,521","697,877","506,557","33,239","510,930","207,055","182,803","524,499","31,733","266,412","41,833","346,512","1,442,766","154,050","21,858","301,693","270,344","89,129","221,340","24,218","169,009"
with_200249_1964_private,"181,062","17,336","214,895","105,046","887,178","131,774","67,239","23,420","6,653","730,722","347,110","36,117","60,651","329,943","214,491","103,527","105,706","142,809","128,472","39,202","119,592","123,959","308,179","144,368","108,991","204,535","38,265","75,054","103,282","28,710","188,413","52,626","412,971","349,830","27,171","345,073","134,016","113,441","361,740","21,302","186,343","34,447","231,680","895,825","119,224","14,237","191,078","166,842","58,202","165,310","16,939","110,348"
no_200249_1964_private,"65,268","10,930","124,264","58,503","761,014","77,514","57,692","16,318","8,190","354,492","175,018","12,826","27,799","172,136","94,866","40,603","33,436","70,834","84,642","19,360","78,735","81,540","144,245","67,812","36,643","85,885","20,787","21,938","58,709","14,980","140,711","42,895","284,906","156,727","6,068","165,857","73,039","69,362","162,759","10,431","80,069","7,386","114,832","546,941","34,826","7,621","110,615","103,502","30,927","56,030","7,279","58,661"
