variable,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico
total_3544_white,"396,670","62,760","495,081","259,628","1,962,615","595,393","269,965","68,569","52,006","1,382,270","692,478","39,540","204,922","973,611","648,981","334,545","283,054","454,695","335,902","151,462","375,941","577,296","890,223","577,066","197,384","617,926","124,576","199,846","207,503","149,502","587,519","117,174","1,311,520","806,784","84,727","1,107,329","337,248","430,192","1,165,396","92,620","407,639","93,154","646,641","1,927,178","361,331","71,371","664,035","702,554","185,222","582,564","66,868","88,099"
with_3544_white,"349,913","57,836","453,381","235,581","1,858,608","555,945","258,816","64,546","51,550","1,192,107","601,994","38,386","183,929","917,987","596,468","315,926","256,270","427,199","315,265","138,179","358,679","559,894","836,510","554,374","169,501","558,317","111,174","188,252","186,060","139,352","552,903","109,683","1,253,050","719,922","80,867","1,029,300","293,876","404,510","1,101,072","89,161","361,870","86,074","571,973","1,619,832","335,112","68,076","623,489","659,413","166,845","554,453","57,992","81,285"
no_3544_white,"46,757","4,924","41,700","24,047","104,007","39,448","11,149","4,023",456,"190,163","90,484","1,154","20,993","55,624","52,513","18,619","26,784","27,496","20,637","13,283","17,262","17,402","53,713","22,692","27,883","59,609","13,402","11,594","21,443","10,150","34,616","7,491","58,470","86,862","3,860","78,029","43,372","25,682","64,324","3,459","45,769","7,080","74,668","307,346","26,219","3,295","40,546","43,141","18,377","28,111","8,876","6,814"
total_4554_white,"401,867","51,527","488,180","247,861","1,781,393","499,756","278,302","67,985","26,369","1,394,117","695,059","33,632","182,205","924,623","631,205","306,657","246,980","457,712","303,981","150,125","346,426","568,168","876,999","517,108","195,135","563,320","107,162","172,594","198,492","148,168","604,522","105,879","1,255,123","831,610","64,726","1,085,601","308,589","383,570","1,130,847","89,794","408,432","79,967","637,422","1,719,948","304,849","68,012","619,553","611,603","198,758","557,679","53,751","91,469"
with_4554_white,"363,832","46,856","450,560","227,795","1,700,979","473,432","268,002","65,289","26,191","1,240,468","625,130","31,712","167,125","879,099","590,460","296,304","229,496","434,750","285,770","139,737","333,528","557,774","838,473","500,970","176,430","519,872","98,163","164,611","180,001","140,625","578,666","98,272","1,208,226","761,349","61,865","1,021,876","276,978","364,314","1,083,146","88,118","371,779","74,889","576,832","1,498,640","285,893","65,094","589,539","582,438","182,687","537,997","48,127","86,336"
no_4554_white,"38,035","4,671","37,620","20,066","80,414","26,324","10,300","2,696",178,"153,649","69,929","1,920","15,080","45,524","40,745","10,353","17,484","22,962","18,211","10,388","12,898","10,394","38,526","16,138","18,705","43,448","8,999","7,983","18,491","7,543","25,856","7,607","46,897","70,261","2,861","63,725","31,611","19,256","47,701","1,676","36,653","5,078","60,590","221,308","18,956","2,918","30,014","29,165","16,071","19,682","5,624","5,133"
total_5564_white,"448,342","57,574","578,583","281,276","2,082,750","514,433","369,406","95,713","19,664","1,838,274","758,660","40,169","193,049","1,069,960","698,244","357,239","282,077","500,947","348,632","193,255","435,463","724,888","1,060,909","625,136","216,145","646,272","124,038","192,554","227,891","195,705","760,432","134,925","1,538,792","935,909","78,150","1,243,840","337,994","404,448","1,394,917","118,186","480,000","99,663","704,377","1,786,302","251,052","84,929","714,170","683,566","216,456","700,991","61,991","99,024"
with_5564_white,"414,459","52,451","544,188","262,289","2,003,802","485,308","358,217","91,686","19,411","1,671,371","684,601","37,503","175,675","1,020,710","659,485","341,540","261,126","475,553","331,968","180,693","420,554","712,390","1,019,726","603,426","196,753","601,458","113,387","183,818","210,469","188,045","738,028","124,611","1,492,384","863,570","75,348","1,178,383","307,120","382,926","1,342,274","114,063","445,381","94,001","647,830","1,597,559","237,516","82,436","683,623","650,690","202,800","674,650","56,017","93,405"
no_5564_white,"33,883","5,123","34,395","18,987","78,948","29,125","11,189","4,027",253,"166,903","74,059","2,666","17,374","49,250","38,759","15,699","20,951","25,394","16,664","12,562","14,909","12,498","41,183","21,710","19,392","44,814","10,651","8,736","17,422","7,660","22,404","10,314","46,408","72,339","2,802","65,457","30,874","21,522","52,643","4,123","34,619","5,662","56,547","188,743","13,536","2,493","30,547","32,876","13,656","26,341","5,974","5,619"
total_6574_white,"394,196","49,777","612,058","250,361","1,905,405","469,744","314,963","98,289","16,910","1,850,323","635,450","45,551","182,310","927,152","602,060","320,713","258,164","430,338","312,467","179,327","366,495","616,336","954,101","542,938","196,090","560,478","128,627","179,237","221,566","163,555","637,554","150,159","1,341,029","828,830","71,014","1,103,137","306,994","422,563","1,271,376","102,946","450,345","95,261","601,345","1,551,312","220,887","80,894","612,278","641,227","206,347","614,283","62,961","100,585"
with_6574_white,"393,323","49,363","607,571","249,175","1,892,769","467,477","313,711","97,547","16,910","1,837,083","630,802","45,064","181,476","921,143","599,624","319,422","256,987","428,304","310,705","178,323","364,917","613,288","950,092","541,042","195,295","558,058","128,361","178,433","219,902","163,165","633,599","149,508","1,334,895","825,187","70,985","1,096,851","305,699","421,574","1,263,736","102,585","448,581","94,954","598,762","1,537,332","220,123","80,788","609,102","637,738","205,579","611,928","62,927","99,311"
no_6574_white,873,414,"4,487","1,186","12,636","2,267","1,252",742,0,"13,240","4,648",487,834,"6,009","2,436","1,291","1,177","2,034","1,762","1,004","1,578","3,048","4,009","1,896",795,"2,420",266,804,"1,664",390,"3,955",651,"6,134","3,643",29,"6,286","1,295",989,"7,640",361,"1,764",307,"2,583","13,980",764,106,"3,176","3,489",768,"2,355",34,"1,274"
total_o75_white,"286,008","25,706","513,485","185,511","1,494,686","301,363","235,603","66,626","15,211","1,656,173","458,712","33,957","120,122","657,078","398,957","218,303","178,101","277,812","211,162","117,066","277,988","441,681","632,680","362,599","142,965","388,328","81,358","121,084","157,172","103,905","481,416","112,670","1,028,157","588,986","47,879","735,781","218,118","293,511","903,949","72,266","316,593","55,218","414,181","1,076,619","144,392","52,854","453,701","435,215","143,001","400,816","37,282","103,042"
